"congress","state","congressional_district","party","name","ideology_score"
112,"NEW JER",6,"Democrat","PALLONE",-0.533
112,"NEW JER",7,"Republican","LANCE",0.714
112,"NEW JER",8,"Democrat","PASCRELL",-0.388
112,"NEW JER",9,"Democrat","ROTHMAN",-0.344
112,"NEW JER",10,"Democrat","PAYNE",-0.553
112,"NEW JER",10,"Democrat","PAYNE",-0.486
112,"NEW JER",11,"Republican","FRELINGH",0.607
112,"NEW JER",12,"Democrat","HOLT",-0.504
112,"NEW JER",13,"Democrat","SIRES",-0.37
112,"NEW MEX",1,"Democrat","HEINRICH",-0.266
112,"NEW MEX",2,"Republican","PEARCE",0.751
112,"NEW MEX",3,"Democrat","LUJAN",-0.356
112,"NEW YOR",1,"Democrat","BISHOP",-0.304
112,"NEW YOR",2,"Democrat","ISRAEL",-0.336
112,"NEW YOR",3,"Republican","KING",0.466
112,"NEW YOR",4,"Democrat","MCCARTHY",-0.276
112,"NEW YOR",5,"Democrat","ACKERMAN",-0.33
112,"NEW YOR",6,"Democrat","MEEKS",-0.359
112,"NEW YOR",7,"Democrat","CROWLEY",-0.398
112,"NEW YOR",8,"Democrat","NADLER",-0.494
112,"NEW YOR",9,"Democrat","WEINER",-0.391
112,"NEW YOR",9,"Republican","TURNER",0.459
112,"NEW YOR",10,"Democrat","TOWNS",-0.444
112,"NEW YOR",11,"Democrat","CLARKE",-0.553
112,"NEW YOR",12,"Democrat","VELAZQUEZ",-0.509
112,"NEW YOR",13,"Republican","GRIMM",0.359
112,"NEW YOR",14,"Democrat","MALONEY",-0.363
112,"NEW YOR",15,"Democrat","RANGEL",-0.398
112,"NEW YOR",16,"Democrat","SERRANO",-0.48
112,"NEW YOR",17,"Democrat","ENGEL",-0.337
112,"NEW YOR",18,"Democrat","LOWEY",-0.328
112,"NEW YOR",19,"Republican","HAYWORTH",0.622
112,"NEW YOR",20,"Republican","GIBSON",0.547
112,"NEW YOR",21,"Democrat","TONKO",-0.418
112,"NEW YOR",22,"Democrat","HINCHEY",-0.555
112,"NEW YOR",23,"Democrat","OWENS",-0.168
112,"NEW YOR",24,"Republican","HANNA",0.622
112,"NEW YOR",25,"Republican","BUERKLE",0.764
112,"NEW YOR",26,"Democrat","HOCHUL",-0.211
112,"NEW YOR",27,"Democrat","HIGGINS",-0.349
112,"NEW YOR",28,"Democrat","SLAUGHTE",-0.527
112,"NEW YOR",29,"Republican","REED",0.651
112,"NORTH C",1,"Democrat","BUTTERFI",-0.364
112,"NORTH C",2,"Republican","ELLMERS",0.598
112,"NORTH C",3,"Republican","JONES",0.076
112,"NORTH C",4,"Democrat","PRICE",-0.403
112,"NORTH C",5,"Republican","FOXX",0.915
112,"NORTH C",6,"Republican","COBLE",0.764
112,"NORTH C",7,"Democrat","MCINTYRE",-0.099
112,"NORTH C",8,"Democrat","KISSELL",-0.144
112,"NORTH C",9,"Republican","MYRICK",0.796
112,"NORTH C",10,"Republican","MCHENRY",0.796
112,"NORTH C",11,"Democrat","SHULER",-0.039
112,"NORTH C",12,"Democrat","WATT",-0.451
112,"NORTH C",13,"Democrat","MILLER",-0.352
